Week Ended,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
07/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1
13/03/2020,0,0,0,0,0,0,0,0,1,1,0,0,1,5,5,6,2,8,8,7
20/03/2020,0,0,0,0,0,1,2,1,0,3,7,17,13,21,28,39,46,74,84,68
27/03/2020,0,0,0,0,2,1,3,12,9,12,27,42,78,93,132,217,291,355,335,273
03/04/2020,0,0,1,0,3,5,7,14,16,29,75,97,205,279,373,600,812,1014,867,793
10/04/2020,0,0,0,1,1,2,13,11,29,54,90,172,272,438,540,865,1227,1576,1533,1428
17/04/2020,0,0,0,0,2,3,6,10,26,46,73,156,249,368,493,788,1090,1568,1732,1712
24/04/2020,0,0,0,0,0,4,8,13,17,35,54,117,221,260,348,580,848,1328,1471,1642
01/05/2020,0,0,0,0,0,4,2,9,10,14,42,77,119,161,269,395,673,989,1115,1340
08/05/2020,1,0,0,0,0,3,3,4,8,16,25,47,83,136,183,341,477,714,902,1046
15/05/2020,1,0,0,0,1,0,2,5,5,14,21,29,62,81,131,200,347,545,650,768
22/05/2020,0,0,0,1,0,0,0,2,1,8,17,25,47,76,82,187,277,419,533,609
29/05/2020,0,0,0,0,0,1,2,1,3,6,11,25,45,67,70,139,205,358,393,455
05/06/2020,0,0,0,1,0,0,0,1,4,6,9,17,29,29,70,111,163,256,284,330
12/06/2020,0,0,0,0,0,1,1,1,3,7,6,13,18,31,38,67,119,199,210,236
19/06/2020,0,0,0,0,0,0,0,0,2,4,2,10,16,21,37,70,87,129,143,157
26/06/2020,0,0,0,0,0,0,0,0,0,0,6,11,9,20,31,48,78,122,118,145
03/07/2020,0,0,0,0,0,0,0,2,1,2,4,7,11,13,17,37,56,84,91,100
10/07/2020,0,0,0,0,0,1,0,0,0,4,3,5,7,13,15,34,39,63,64,88
17/07/2020,0,0,0,0,0,0,0,0,0,1,6,5,5,4,12,32,33,41,43,51
24/07/2020,0,0,0,0,0,0,0,1,1,1,0,3,6,5,15,15,26,34,47,39
31/07/2020,0,0,0,0,0,0,0,0,0,1,4,2,6,4,12,14,23,35,27,35
07/08/2020,0,0,0,0,0,0,0,0,0,0,2,3,3,6,11,13,15,24,23,33
14/08/2020,0,0,0,0,0,0,0,0,0,0,1,0,4,5,10,10,25,28,31,26
21/08/2020,0,0,0,0,0,0,0,1,1,2,2,4,5,3,6,5,14,24,22,12
28/08/2020,0,0,0,0,0,0,0,0,2,1,1,5,2,5,7,6,9,18,17,19
04/09/2020,0,0,0,0,0,0,0,0,2,0,2,2,2,5,4,9,11,11,14,15
11/09/2020,0,0,0,0,0,0,0,1,1,1,0,3,1,5,7,10,19,15,18,19
18/09/2020,0,0,0,0,0,0,0,0,0,3,1,2,4,6,11,13,22,33,46,27
25/09/2020,0,0,0,0,0,0,0,0,1,1,3,6,9,11,17,27,30,43,42,54
02/10/2020,0,0,0,0,0,0,1,0,2,2,4,4,9,13,22,52,59,78,65,67
09/10/2020,0,0,0,0,0,1,0,3,0,6,4,6,11,25,32,53,87,104,95,99
16/10/2020,0,0,0,0,0,0,0,3,2,2,5,11,15,32,52,89,117,150,139,151
23/10/2020,0,0,0,0,0,0,0,2,2,5,10,17,33,45,91,140,216,236,249,217
30/10/2020,0,0,0,0,0,1,4,1,2,5,10,24,38,66,91,167,257,336,337,326
06/11/2020,0,0,0,0,0,2,0,1,2,6,23,36,46,81,138,219,310,460,414,441
13/11/2020,0,0,0,0,0,1,1,3,4,12,18,39,68,107,154,274,358,501,531,492
20/11/2020,0,0,0,0,1,1,2,2,8,5,15,26,64,81,145,246,397,496,518,542
