Date,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Northern Ireland
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0,1,0,0,0,0,0
05/03/2020,0,0,0,0,0,0,0,2,0,0,0,0
06/03/2020,0,0,0,0,0,1,1,0,0,0,0,0
07/03/2020,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2020,0,1,0,0,1,0,0,0,0,0,0,0
09/03/2020,0,0,0,0,1,1,2,1,0,0,0,0
10/03/2020,0,0,0,0,1,1,1,0,0,0,0,0
11/03/2020,0,1,0,1,1,1,2,0,1,0,0,0
12/03/2020,0,0,0,1,4,0,6,0,0,0,2,0
13/03/2020,0,3,0,1,2,2,6,2,0,0,0,0
14/03/2020,0,2,0,0,2,0,10,3,1,0,2,0
15/03/2020,1,4,2,0,4,1,8,7,1,1,1,0
16/03/2020,0,2,2,4,8,2,14,9,2,3,3,0
17/03/2020,0,6,2,1,8,2,26,7,2,1,3,0
18/03/2020,0,6,2,4,9,1,28,13,3,2,4,1
19/03/2020,0,9,1,3,8,6,31,9,4,4,4,0
20/03/2020,3,8,2,6,19,2,49,16,2,4,5,0
21/03/2020,3,12,2,4,17,8,55,15,8,9,7,1
22/03/2020,6,17,2,12,23,11,64,30,6,4,6,1
23/03/2020,4,20,6,10,29,12,69,27,11,7,7,4
24/03/2020,2,22,7,17,30,23,97,31,7,11,12,3
25/03/2020,6,22,8,12,45,22,135,39,9,12,22,4
26/03/2020,8,34,16,18,55,36,146,48,9,12,23,4
27/03/2020,13,43,20,24,59,37,155,53,12,18,23,6
28/03/2020,11,43,25,29,76,41,148,47,29,21,37,9
29/03/2020,9,62,32,27,76,56,175,65,28,23,27,4
30/03/2020,36,80,32,27,87,55,196,84,32,21,51,7
31/03/2020,30,81,42,44,114,79,239,86,25,21,58,8
01/04/2020,35,116,42,49,131,83,237,96,32,24,65,7
02/04/2020,41,134,55,55,137,77,255,103,34,39,61,14
03/04/2020,55,132,65,62,102,91,267,106,46,41,75,13
04/04/2020,47,124,75,73,127,83,286,145,60,53,56,14
05/04/2020,51,156,68,81,135,106,272,135,56,53,86,16
06/04/2020,58,141,72,82,115,87,272,140,57,45,90,7
07/04/2020,54,190,83,62,112,128,295,153,63,53,84,9
08/04/2020,59,176,102,80,161,135,326,161,80,72,92,9
09/04/2020,63,163,100,88,128,115,274,194,45,61,108,25
10/04/2020,79,167,103,78,133,97,240,173,91,49,99,9
11/04/2020,73,196,77,86,146,126,248,171,74,50,95,15
12/04/2020,63,206,90,91,136,142,236,165,71,73,74,20
13/04/2020,51,188,86,74,119,109,228,159,60,56,79,16
14/04/2020,67,195,93,88,117,97,213,150,61,55,100,16
15/04/2020,46,188,109,81,133,114,202,157,66,60,94,21
16/04/2020,47,213,121,64,131,118,201,174,73,55,101,16
17/04/2020,59,160,116,86,141,133,170,158,82,61,85,14
18/04/2020,68,199,94,73,123,102,167,136,63,53,95,10
19/04/2020,58,130,101,80,107,96,156,165,74,49,90,16
20/04/2020,52,156,101,81,106,102,145,182,65,47,105,15
21/04/2020,49,139,98,57,112,95,141,148,74,54,96,16
22/04/2020,53,173,107,59,99,103,135,149,59,48,88,25
23/04/2020,50,154,92,72,112,78,119,152,61,50,72,22
24/04/2020,37,152,98,63,85,101,121,153,62,43,76,11
25/04/2020,62,119,79,57,92,83,79,145,54,48,79,20
26/04/2020,48,116,81,62,107,83,83,120,60,36,78,17
27/04/2020,39,119,91,64,84,75,74,107,68,35,85,22
28/04/2020,50,113,79,65,66,87,78,106,54,30,59,10
29/04/2020,36,117,102,64,71,61,76,117,53,34,69,15
30/04/2020,46,110,81,50,67,80,77,87,58,39,68,13
01/05/2020,52,95,75,59,82,81,60,118,36,34,67,22
02/05/2020,55,99,68,46,70,47,78,84,42,34,60,20
03/05/2020,43,100,62,50,65,69,58,71,38,26,61,18
04/05/2020,34,97,73,56,70,49,53,81,45,38,62,14
05/05/2020,36,89,61,48,67,55,52,81,48,31,67,7
06/05/2020,36,92,65,50,55,57,57,71,36,37,59,7
07/05/2020,46,97,69,43,58,57,53,71,41,26,61,7
08/05/2020,36,91,64,45,51,43,47,77,26,19,58,9
09/05/2020,30,67,61,44,50,52,30,91,37,17,50,9
10/05/2020,27,90,59,32,47,44,40,60,23,19,38,13
11/05/2020,25,64,40,36,35,32,45,59,19,21,45,6
12/05/2020,23,71,39,45,42,45,30,66,16,19,35,7
13/05/2020,31,57,49,22,54,44,25,65,25,22,53,6
14/05/2020,31,56,42,39,40,47,33,65,18,27,50,15
15/05/2020,25,71,51,27,39,37,26,66,15,19,34,9
16/05/2020,35,61,45,29,51,37,23,52,17,25,37,4
17/05/2020,33,45,34,22,43,41,22,53,20,17,34,10
18/05/2020,38,49,35,42,45,41,24,56,13,19,34,10
19/05/2020,21,61,40,34,34,29,27,47,18,15,31,9
20/05/2020,20,52,37,28,30,51,22,52,10,13,28,8
21/05/2020,27,55,35,31,36,29,22,31,19,16,34,6
22/05/2020,19,37,37,28,24,27,17,48,18,19,19,6
23/05/2020,20,50,28,34,28,27,13,41,14,10,15,4
24/05/2020,18,44,36,19,23,30,15,36,13,21,13,12
25/05/2020,13,43,38,25,22,37,14,26,19,14,22,3
26/05/2020,26,42,26,26,36,25,23,41,13,16,21,2
27/05/2020,17,41,35,23,28,24,14,34,14,17,22,7
28/05/2020,18,47,32,26,24,33,9,32,16,20,22,5
29/05/2020,25,35,27,17,21,29,11,39,12,14,19,5
30/05/2020,14,30,31,25,15,17,17,28,9,17,13,2
31/05/2020,12,23,26,22,23,19,12,24,12,6,11,3
01/06/2020,11,30,30,21,18,17,13,27,12,11,6,3
02/06/2020,20,35,31,14,25,26,15,30,7,8,14,7
03/06/2020,12,35,25,22,18,19,6,26,12,9,12,3
