Location,Lat,Long,22/1/20,23/1/20,24/1/20,25/1/20,26/1/20,27/1/20,28/1/20,29/1/20,30/1/20,31/1/20,1/2/20,2/2/20,3/2/20,4/2/20,5/2/20,6/2/20,7/2/20,8/2/20,9/2/20,10/2/20,11/2/20,12/2/20,13/2/20,14/2/20,15/2/20,16/2/20,17/2/20,18/2/20,19/2/20,20/2/20,21/2/20,22/2/20,23/2/20,24/2/20,25/2/20,26/2/20,27/2/20,28/2/20,29/2/20,1/3/20,2/3/20,3/3/20,4/3/20,5/3/20,6/3/20,7/3/20,8/3/20,9/3/20,10/3/20,11/3/20,12/3/20,13/3/20,14/3/20,15/3/20,16/3/20,17/3/20,18/3/20,19/3/20,20/3/20,21/3/20,22/3/20,23/3/20,24/3/20,25/3/20,26/3/20,27/3/20,28/3/20,29/3/20,30/3/20,31/3/20,1/4/20,2/4/20,3/4/20,4/4/20,5/4/20,6/4/20,7/4/20,8/4/20,9/4/20,10/4/20,11/4/20,12/4/20,13/4/20,14/4/20,15/4/20,16/4/20,17/4/20,18/4/20,19/4/20,20/4/20,21/4/20,22/4/20,23/4/20,24/4/20,25/4/20,26/4/20,27/4/20,28/4/20,29/4/20,30/4/20,1/5/20,2/5/20,3/5/20,4/5/20,5/5/20,6/5/20,7/5/20,8/5/20,9/5/20,10/5/20,11/5/20,12/5/20,13/5/20,14/5/20,15/5/20,16/5/20,17/5/20,18/5/20,19/5/20,20/5/20,21/5/20,22/5/20,23/5/20,24/5/20,25/5/20,26/5/20,27/5/20,28/5/20,29/5/20,30/5/20,31/5/20,1/6/20,2/6/20,3/6/20,4/6/20,5/6/20,6/6/20,7/6/20,8/6/20,9/6/20,10/6/20,11/6/20,12/6/20,13/6/20,14/6/20,15/6/20,16/6/20,17/6/20,18/6/20,19/6/20,20/6/20,21/6/20,22/6/20,23/6/20,24/6/20,25/6/20,26/6/20,27/6/20,28/6/20,29/6/20,30/6/20,1/7/20,2/7/20,3/7/20,4/7/20,5/7/20,6/7/20,7/7/20,8/7/20,9/7/20,10/7/20,11/7/20,12/7/20,13/7/20,14/7/20,15/7/20,16/7/20,17/7/20,18/7/20,19/7/20,20/7/20,21/7/20,22/7/20,23/7/20,24/7/20,25/7/20,26/7/20,27/7/20,28/7/20,29/7/20,30/7/20,31/7/20,1/8/20,2/8/20,3/8/20,4/8/20,5/8/20,6/8/20,7/8/20,8/8/20,9/8/20,10/8/20,11/8/20,12/8/20,13/8/20,14/8/20,15/8/20,16/8/20,17/8/20,18/8/20,19/8/20,20/8/20,21/8/20,22/8/20,23/8/20,24/8/20,25/8/20,26/8/20,27/8/20,28/8/20,29/8/20,30/8/20,31/8/20,1/9/20,2/9/20,3/9/20,4/9/20,5/9/20,6/9/20,7/9/20,8/9/20,9/9/20,10/9/20,11/9/20,12/9/20,13/9/20,14/9/20,15/9/20,16/9/20,17/9/20,18/9/20,19/9/20,20/9/20,21/9/20,22/9/20,23/9/20,24/9/20,25/9/20,26/9/20,27/9/20,28/9/20,29/9/20,30/9/20,1/10/20,2/10/20,3/10/20,4/10/20,5/10/20,6/10/20,7/10/20,8/10/20,9/10/20,10/10/20,11/10/20,12/10/20,13/10/20,14/10/20,15/10/20,16/10/20,17/10/20,18/10/20,19/10/20,20/10/20,21/10/20,22/10/20,23/10/20,24/10/20,25/10/20,26/10/20,27/10/20,28/10/20,29/10/20,30/10/20,31/10/20,1/11/20,2/11/20,3/11/20,4/11/20,5/11/20,6/11/20,7/11/20,8/11/20,9/11/20,10/11/20,11/11/20,12/11/20,13/11/20,14/11/20,15/11/20,16/11/20,17/11/20,18/11/20,19/11/20,20/11/20,21/11/20,22/11/20,23/11/20,24/11/20,25/11/20,26/11/20,27/11/20,28/11/20,29/11/20,30/11/20,1/12/20,2/12/20,3/12/20,4/12/20,5/12/20,6/12/20
Alabama,32.88428035358209,-86.71012237686571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,15,28,36,51,61,88,115,149,180,224,298,472,574,684,801,880,1001,1063,1175,1371,1606,1727,1905,2079,2308,2614,2954,3112,3346,3667,3870,4041,4307,4465,4557,4788,4978,5163,5404,5692,5899,6092,6274,6475,6621,6820,6979,7187,7440,7700,7977,8203,8520,8769,9115,9437,9720,9982,10262,10566,10822,11161,11494,11828,12137,12438,12825,13186,13590,13954,14328,14676,15309,15899,16263,16749,17262,17689,18200,18525,18734,18954,19262,19910,20355,20777,21268,21834,22659,23370,24405,25364,26182,26485,27034,27941,28676,29225,29683,30122,30771,31889,32878,33880,34903,35083,36503,37589,38477,39647,41340,42255,43216,44022,44932,46348,48149,49695,51329,52802,54781,56168,58284,60194,62128,64152,66181,67733,69236,70600,72594,74685,76795,78188,79948,81256,82698,84652,86664,88266,90299,91458,92502,93457,95323,97044,98895,99854,101466,102391,103485,104219,104976,106096,106926,107667,109092,110415,111696,112737,114212,114809,115485,116045,118190,119904,121041,122879,124155,124944,126500,127234,128240,129225,130373,130914,131690,132221,133005,134061,135138,136107,137166,137861,138619,139660,140423,141454,142768,143578,144325,145202,145859,146897,149263,150239,150965,151604,152350,153584,154772,155727,157402,158181,158717,159476,160485,161085,162683,163897,164698,165414,166514,167396,168620,169845,171157,172137,173002,174078,175210,176605,180437,182567,183831,184723,185938,187267,188775,190113,191932,193613,194458,195692,197504,198927,200528,202131,203518,204665,206523,206562,208637,210637,213617,215843,217822,219232,220848,223486,225910,228373,230708,232506,234080,236865,239318,241957,242874,244993,247229,249524,252900,256828,260359,264199,267589,269877
Alaska,60.24750915137932,-148.03690658620692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,9,12,15,16,26,39,43,50,64,75,92,111,119,129,142,150,161,172,187,193,215,228,238,249,261,276,281,289,297,305,314,319,324,326,334,340,342,344,344,346,350,356,360,360,369,370,373,375,376,377,380,383,385,386,388,390,391,396,398,403,408,411,411,416,416,418,423,423,426,430,431,444,450,455,484,491,512,531,559,572,586,595,614,627,649,676,697,731,743,747,761,786,805,833,856,870,881,915,938,982,1011,1038,1070,1095,1142,1184,1234,1294,1349,1382,1410,1434,1485,1536,1590,1667,1783,1854,1914,1971,2048,2100,2177,2293,2433,2537,2644,2722,2786,2902,3134,3245,3378,3470,3589,3700,3850,3993,4069,4136,4195,4241,4309,4395,4495,4563,4617,4684,4784,4889,4974,5078,5128,5199,5276,5361,5433,5523,5590,5662,5698,5752,5841,5960,6055,6104,6142,6178,6245,6335,6461,6551,6648,6683,6717,6782,6896,6992,7096,7158,7235,7279,7330,7442,7552,7648,7756,7827,7887,7964,8106,8233,8352,8464,8581,8703,8809,8949,9092,9232,9375,9574,9723,9845,9984,10170,10402,10652,10845,11004,11172,11339,11562,11772,11986,12189,12420,12644,12881,13130,13487,14009,14356,14736,15091,15462,15844,16291,16637,16988,17377,17787,18097,18620,19226,19745,20218,20748,21250,21730,22319,23056,23710,24293,24929,25476,25966,26426,27102,27644,28144,28731,29405,29959,30625,31289,31909,32418,32954,33638,34396,35155,36092,36856
American Samoa,-14.270999999999999,-170.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,33.675903642,-111.46323212666667,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6,9,9,9,12,12,18,20,27,45,68,104,152,235,326,401,508,665,773,919,1157,1289,1413,1596,1769,2019,2269,2460,2575,2726,3018,3112,3393,3542,3705,3809,3964,4237,4511,4724,4933,5068,5256,5473,5772,6045,6286,6534,6725,6955,7209,7655,7969,8364,8640,8924,9305,9707,9945,10526,10960,11119,11383,11736,12216,12674,13169,13666,13945,14208,14576,14906,15348,15624,16053,16377,16575,16864,17318,17877,18472,19258,19936,20129,21264,22356,22886,24439,25451,26989,27678,28296,29852,31267,33039,34660,35706,36844,39185,40937,43445,46910,50127,52591,54599,58378,60190,63281,66659,70122,73919,74545,79227,84105,87445,91872,94567,98103,101455,105094,108614,112671,116892,119930,122467,123824,128097,131354,134613,138523,141265,143624,145183,148683,150609,152944,156293,160041,162014,163827,165934,168273,170798,174010,177002,178467,179497,180505,182203,183656,185053,186107,186923,187523,188736,189442,190793,191721,192654,193537,194005,194920,195557,196280,196899,197895,198102,198413,199272,199459,200139,200658,201287,201661,201835,202342,202861,203952,204680,205516,205766,205964,206045,206541,207002,207523,208128,208512,208725,209209,209904,211657,212938,213548,214017,214250,214845,215284,215849,216367,216824,217237,217509,218184,218507,219212,219763,220399,220754,221070,221934,222538,223401,224084,224978,225575,226050,226733,227635,228748,229486,230459,231149,231897,232937,233912,234906,235881,236771,238163,238964,240121,241165,242480,244045,245946,247473,248139,249818,250632,252767,254763,257384,259264,259699,263133,265163,266562,269577,273053,275436,276912,279896,283102,287225,291696,295334,299665,302324,306868,310850,314324,318638,322774,325995,326817,337139,340979,346421,352101,358900,364276
Arkansas,34.911889390266666,-92.43397826839998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,4,44,189,206,260,311,346,377,395,424,489,540,600,657,690,780,808,902,956,1106,1150,1209,1255,1374,1453,1521,1576,1652,1702,1735,1928,1945,2181,2472,2628,2709,2785,2866,2907,2965,3113,3164,3194,3263,3315,3362,3466,3544,3593,3593,3885,3912,4027,4096,4231,4324,4447,4627,4683,4793,4870,5307,5468,5627,5772,5870,6006,6096,6339,6584,6817,7065,7254,7615,7818,8193,8407,8837,9162,9440,9786,10090,10514,11247,11774,12161,12573,12795,13215,13493,14098,14582,14990,15499,15995,16644,17127,18041,18577,19106,19526,20056,20491,21338,21839,22322,22907,23288,23598,24301,25117,25837,26816,27294,27818,28691,29248,30094,30663,31410,32025,32672,33448,33980,34972,35851,36600,37223,37948,38667,39423,40175,40957,41618,42232,42956,43729,44607,45295,46254,47039,47587,48205,48600,49295,49950,50557,51250,51910,52303,52702,53430,53991,54847,55386,55764,56068,56554,57229,57939,58768,59477,59952,60320,60600,61156,62052,62945,63476,64150,64500,64812,65249,65687,66624,68166,68578,68999,69902,70761,71676,72461,73511,74032,74678,75389,76339,77271,78180,78898,79470,80149,80863,81786,82851,83730,84552,85012,85465,86205,86950,88244,89415,90292,90865,91503,92192,93218,94616,95557,96437,97068,97607,98480,99597,100738,101993,103247,103923,104522,105581,106545,107627,108759,110079,111417,111966,112781,114208,115761,117519,119073,119998,120879,122388,124249,125993,128180,130060,130874,132169,133694,135238,137472,139512,141218,142595,143832,145879,147876,150059,150983,152227,153413,154865,156807,159022,161726,164562,166784,168228
California,37.84396164603449,-120.72859416379308,0,0,0,0,2,2,2,2,2,3,3,3,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,10,11,11,12,12,21,25,35,51,59,81,95,101,144,178,221,281,371,373,557,700,831,1009,1243,1412,1651,2113,2542,3009,3910,4667,5110,5863,7155,8233,9410,10790,12016,12837,15034,15981,17309,18730,19706,21077,21713,22792,23934,25389,26686,27677,29157,30511,31431,33686,35480,37352,39561,41355,42368,43559,44972,46164,48747,50130,52026,53347,54903,55884,58456,60616,62148,63800,66572,67600,69329,70980,72798,74871,76693,78725,80166,81518,83764,86018,88056,90281,92564,94069,96470,99492,101071,103813,106638,109895,111951,114733,117215,119374,122194,125783,128606,130657,133816,136681,139715,143439,146659,150034,152349,155726,158961,162798,167133,170862,175243,178657,184765,191477,196024,201112,206844,210692,215487,223646,231418,238681,246550,250514,252895,264681,271035,284012,292560,302484,310885,318761,324543,333357,346211,354885,364706,373259,380745,386906,397870,409305,421286,430773,440185,446452,452288,458121,470762,484913,492934,500556,506613,512175,516851,526685,530606,541339,546814,554388,559746,574231,578946,591376,597984,613101,617994,623873,629415,638140,647274,652267,658900,664435,669280,675561,681032,687004,691821,697385,702038,705951,712475,715617,721281,726018,730662,735314,738856,740965,744344,747290,750961,754905,758933,761728,765134,768204,771321,775037,779491,783313,786168,790096,793065,796436,799516,803660,807451,809890,812711,815654,819115,822205,826013,829521,832713,835507,838202,841928,845270,849076,852410,855190,857913,861310,865204,868148,871253,873614,875692,879645,883746,886939,893364,898799,903684,906596,910438,914888,919276,923648,928028,932143,935878,940411,945401,950920,956854,963211,969362,972713,981297,989432,995575,1004116,1013566,1023067,1032095,1041690,1052285,1064040,1077174,1089750,1105435,1114524,1128219,1145209,1160940,1171802,1185576,1200624,1215455,1230264,1246042,1265182,1286550,1310307,1337941,1366673
Colorado,38.935474467656235,-105.48623995937497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,12,17,34,49,78,103,136,161,183,216,278,364,474,594,718,894,1069,1328,1602,1899,2122,2467,2837,3214,3584,4015,4361,4699,4907,5177,5417,5967,6368,6718,7151,7551,7831,8169,8589,8980,9360,9616,9986,10347,10796,11170,12153,12837,13269,13703,14151,14613,15126,15592,15999,16393,16676,17178,17668,18217,18687,19196,19481,19726,20056,20390,20767,21171,21556,21855,22124,22417,22730,23100,23393,23838,24049,24256,24552,24754,25107,25598,26084,26364,26563,26774,27046,27346,27601,27834,27987,28169,28333,28484,28632,28807,29002,29115,29284,29427,29656,29886,30172,30333,30524,30689,30877,31139,31463,31780,32006,32290,32494,32698,33012,33335,33595,33849,34048,34240,34647,35099,35507,36173,36573,36895,37218,37668,38137,38708,39326,39770,40124,40548,41041,41680,42295,42962,43771,44318,44547,45296,45778,46186,46791,47249,47709,47950,48376,48970,49418,49875,50306,50642,51020,51422,51737,52200,52519,52819,53157,53351,53612,53882,54211,54211,54864,55123,55321,55780,55973,56323,56753,57020,57203,57404,57755,57999,58267,58267,58966,59251,59464,59651,59891,60155,60462,60876,61293,61667,62079,62666,63125,63730,64336,64837,65379,66033,66649,67196,67905,68489,69058,69469,70004,70515,71197,71876,72533,73054,73515,74169,74899,75761,76595,77618,78437,79013,80061,80753,81895,83207,84346,85279,86351,87559,88826,90199,91549,93377,95066,97277,98710,100185,101991,104403,107327,109887,112124,114686,117614,120983,124446,127944,130961,134514,138404,142379,147576,154015,159211,163394,167690,172021,176671,182776,188540,194653,198573,202262,206412,210603,216656,220926,225256,228745,232878,237285,241147,247184,252197,257322,260556
Connecticut,41.61368014,-72.65682967875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,11,23,24,41,68,96,157,194,194,327,415,618,875,1012,1291,1524,1993,2395,3051,3372,3650,4696,5035,5453,6642,7489,7489,9392,10131,11054,11534,12890,13456,14218,15350,16314,17025,17433,19301,19857,21919,22578,23414,24061,24747,25513,25821,26260,27238,28393,28975,28975,29610,30253,30690,31499,32109,32738,33254,33492,34070,34605,35229,35847,36446,37209,37883,38212,38815,39014,39452,39807,40258,40649,41046,41060,41341,41536,41793,41967,42503,42728,42843,42998,43215,43563,43700,43820,43893,44043,44168,44400,44695,44818,44893,45009,45084,45170,45284,45439,45482,45512,45637,45653,45734,45807,45954,46052,46157,46310,46363,46435,46504,46504,46504,46749,46806,46880,46982,47057,47057,47057,47266,47287,47394,47524,47665,47665,47665,47821,47860,47993,47998,48554,48554,48554,48741,48832,49290,49428,49567,49567,49567,49819,49868,49971,50011,50083,50083,50083,50330,50441,50470,50566,50681,50681,50681,51033,51041,51101,51220,51305,51305,51305,51777,51814,51999,52146,52391,52391,52391,52769,52899,53001,53112,53265,53265,53265,53265,53670,53760,53990,54219,54219,54219,54769,54905,55034,55264,55406,55406,55406,55882,56023,56180,56342,56455,56455,56455,57000,57183,57399,57613,58165,58165,58165,58963,59085,59241,59639,59915,59915,59915,61215,61557,61713,61899,62705,62705,62705,63864,64314,64718,65236,65915,65915,65915,67910,68484,68977,70291,71066,71066,71066,73639,74658,75134,76858,77918,77918,77918,81155,82696,84423,85580,88266,88266,88266,92863,94550,96620,98978,101003,101003,101003,106167,106815,108657,108657,111950,111950,111950,116593,118100,120693,125376,126905,126905,126905
Delaware,39.10927682333334,-75.53323745666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,6,8,16,19,30,39,45,56,68,104,119,130,163,214,232,264,319,368,393,450,593,673,783,928,1116,1209,1317,1466,1625,1758,1915,1997,2053,2295,2508,2508,2714,2901,3172,3305,3438,3573,4025,4151,4543,4629,4709,4894,5016,5185,5264,5346,5742,5909,6083,6250,6250,6525,6705,6916,7178,7330,7501,7618,7818,7987,8146,8340,8476,8476,8752,8910,9008,9042,9118,9185,9370,9447,9550,9632,9659,9693,9724,9833,9927,9961,10008,10042,10093,10157,10214,10250,10326,10387,10430,10485,10594,10662,10755,10803,10830,10870,10959,10994,11065,11196,11340,11436,11468,11678,11854,11923,12047,12202,12316,12361,12429,12548,12637,12700,12773,12855,12933,12993,13203,13287,13374,13471,13588,13631,13761,14018,13993,14103,14214,14284,14399,14477,14569,14656,14723,14826,14905,15058,15125,15201,15259,15332,15385,15449,15509,15709,16080,16137,16190,16273,16329,16379,16451,16501,16556,16622,16667,16685,16710,16701,16804,17071,17064,17144,17246,17259,17361,17458,17589,17709,17796,17853,17853,18005,18098,18262,18384,18467,18644,18756,18839,18889,18973,19086,19187,19279,19348,19459,19598,19667,19771,19896,20040,20122,20296,20847,21035,21153,21273,21376,21460,21592,21737,21907,22039,22198,22303,22374,22469,22633,22851,23002,23105,23234,23284,23437,23596,23756,23870,24077,24158,24301,24462,24660,24860,25035,25220,25335,25442,25662,25943,26166,26510,26815,27019,27249,27453,27923,28300,28708,29105,29457,29659,30056,30717,31222,31708,32111,32559,32890,33471,34061,34561,35140,35543,36249,36603,37362,38303,39000,39815
District of Columbia,38.90417773,-77.01655992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,31,40,71,98,102,120,141,187,231,271,304,342,401,495,586,653,757,902,1002,1097,1211,1440,1523,1660,1778,1875,1955,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4797,5016,5170,5322,5461,5654,5899,6102,6272,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551,7788,7893,7966,8110,8225,8334,8406,8492,8538,8717,8801,8857,8886,9016,9120,9199,9269,9332,9389,9474,9537,9589,9654,9709,9767,9799,9818,9847,9903,9952,9984,10020,10058,10094,10128,10159,10185,10216,10248,10292,10327,10365,10390,10435,10447,10482,10515,10569,10642,10679,10743,10801,10847,10906,10946,11026,11076,11115,11194,11261,11339,11427,11529,11571,11649,11717,11780,11858,11945,11999,12057,12126,12205,12274,12313,12398,12443,12518,12589,12653,12753,12807,12896,12959,13024,13118,13159,13220,13273,13325,13354,13409,13469,13534,13590,13639,13684,13684,13794,13851,13925,13959,13992,14049,14077,14135,14186,14238,14279,14315,14362,14387,14412,14493,14493,14592,14622,14687,14743,14790,14852,14902,14955,14978,15021,15050,15106,15163,15215,15250,15264,15300,15326,15358,15423,15473,15519,15547,15652,15652,15765,15843,15918,15984,16022,16068,16132,16166,16255,16334,16370,16395,16445,16498,16537,16609,16706,16767,16812,16906,16973,17074,17144,17266,17369,17438,17524,17601,17682,17792,17891,18001,18087,18173,18379,18507,18666,18814,18977,19064,19309,19465,19678,19808,19961,20151,20290,20409,20516,20736,20937,21308,21448,21552,21685,21842,22164,22480,22872,23136
