Location,Lat,Long,22/1/20,23/1/20,24/1/20,25/1/20,26/1/20,27/1/20,28/1/20,29/1/20,30/1/20,31/1/20,1/2/20,2/2/20,3/2/20,4/2/20,5/2/20,6/2/20,7/2/20,8/2/20,9/2/20,10/2/20,11/2/20,12/2/20,13/2/20,14/2/20,15/2/20,16/2/20,17/2/20,18/2/20,19/2/20,20/2/20,21/2/20,22/2/20,23/2/20,24/2/20,25/2/20,26/2/20,27/2/20,28/2/20,29/2/20,1/3/20,2/3/20,3/3/20,4/3/20,5/3/20,6/3/20,7/3/20,8/3/20,9/3/20,10/3/20,11/3/20,12/3/20,13/3/20,14/3/20,15/3/20,16/3/20,17/3/20,18/3/20,19/3/20,20/3/20,21/3/20,22/3/20,23/3/20,24/3/20,25/3/20,26/3/20,27/3/20,28/3/20,29/3/20,30/3/20,31/3/20,1/4/20,2/4/20,3/4/20,4/4/20,5/4/20,6/4/20,7/4/20,8/4/20,9/4/20,10/4/20,11/4/20,12/4/20,13/4/20,14/4/20,15/4/20,16/4/20,17/4/20,18/4/20,19/4/20,20/4/20,21/4/20,22/4/20,23/4/20,24/4/20,25/4/20,26/4/20,27/4/20,28/4/20,29/4/20,30/4/20,1/5/20,2/5/20,3/5/20,4/5/20,5/5/20,6/5/20,7/5/20,8/5/20,9/5/20,10/5/20,11/5/20,12/5/20,13/5/20,14/5/20,15/5/20,16/5/20,17/5/20,18/5/20,19/5/20,20/5/20,21/5/20,22/5/20,23/5/20,24/5/20,25/5/20,26/5/20,27/5/20,28/5/20,29/5/20,30/5/20,31/5/20,1/6/20,2/6/20,3/6/20,4/6/20,5/6/20,6/6/20,7/6/20,8/6/20,9/6/20,10/6/20,11/6/20,12/6/20,13/6/20,14/6/20,15/6/20,16/6/20,17/6/20,18/6/20,19/6/20,20/6/20,21/6/20,22/6/20,23/6/20,24/6/20,25/6/20,26/6/20,27/6/20,28/6/20,29/6/20,30/6/20,1/7/20,2/7/20,3/7/20,4/7/20,5/7/20,6/7/20,7/7/20,8/7/20,9/7/20,10/7/20,11/7/20,12/7/20,13/7/20,14/7/20,15/7/20,16/7/20,17/7/20,18/7/20,19/7/20,20/7/20,21/7/20,22/7/20,23/7/20,24/7/20,25/7/20,26/7/20,27/7/20,28/7/20,29/7/20,30/7/20,31/7/20,1/8/20,2/8/20,3/8/20,4/8/20,5/8/20,6/8/20,7/8/20,8/8/20,9/8/20,10/8/20,11/8/20,12/8/20,13/8/20,14/8/20,15/8/20,16/8/20,17/8/20,18/8/20,19/8/20,20/8/20,21/8/20,22/8/20,23/8/20,24/8/20,25/8/20,26/8/20,27/8/20,28/8/20,29/8/20,30/8/20,31/8/20,1/9/20,2/9/20,3/9/20,4/9/20,5/9/20,6/9/20,7/9/20,8/9/20,9/9/20,10/9/20,11/9/20,12/9/20,13/9/20,14/9/20,15/9/20,16/9/20,17/9/20,18/9/20,19/9/20,20/9/20,21/9/20,22/9/20,23/9/20,24/9/20,25/9/20,26/9/20,27/9/20,28/9/20,29/9/20,30/9/20,1/10/20,2/10/20,3/10/20,4/10/20,5/10/20,6/10/20,7/10/20,8/10/20,9/10/20,10/10/20,11/10/20,12/10/20,13/10/20,14/10/20,15/10/20,16/10/20,17/10/20,18/10/20,19/10/20,20/10/20,21/10/20,22/10/20,23/10/20,24/10/20,25/10/20,26/10/20,27/10/20,28/10/20,29/10/20,30/10/20,31/10/20,1/11/20,2/11/20,3/11/20,4/11/20,5/11/20,6/11/20,7/11/20,8/11/20,9/11/20,10/11/20,11/11/20,12/11/20,13/11/20,14/11/20,15/11/20,16/11/20,17/11/20,18/11/20,19/11/20,20/11/20,21/11/20,22/11/20,23/11/20,24/11/20,25/11/20,26/11/20,27/11/20,28/11/20,29/11/20,30/11/20,1/12/20,2/12/20,3/12/20,4/12/20,5/12/20,6/12/20
Alabama,32.88428035358209,-86.71012237686571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,10,10,15,27,27,38,44,45,49,64,66,70,80,92,93,99,114,118,133,148,153,157,163,183,196,202,209,209,219,228,242,256,272,289,288,290,298,315,343,369,383,390,393,403,435,450,473,483,485,488,489,504,522,529,541,549,551,566,580,583,591,610,618,630,644,651,651,651,672,685,688,714,725,739,750,764,768,768,769,779,784,801,812,828,829,831,854,879,880,887,898,898,905,926,947,961,983,984,984,984,1007,1032,1042,1077,1086,1093,1096,1136,1183,1200,1232,1253,1254,1257,1268,1325,1357,1395,1413,1428,1446,1446,1489,1516,1531,1553,1576,1580,1611,1639,1654,1674,1694,1707,1733,1781,1814,1821,1825,1828,1830,1855,1867,1876,1905,1927,1942,1944,1950,1959,1965,1990,2017,2059,2067,2083,2102,2114,2120,2144,2151,2152,2152,2153,2161,2176,2204,2217,2218,2221,2253,2392,2401,2428,2437,2437,2439,2457,2488,2506,2491,2501,2501,2501,2517,2540,2548,2550,2558,2558,2559,2580,2601,2637,2653,2664,2664,2665,2665,2706,2756,2786,2788,2788,2789,2805,2828,2843,2859,2866,2866,2866,2892,2911,2914,2932,2967,2973,2973,2987,3006,3026,3049,3082,3084,3084,3120,3201,3213,3231,3246,3248,3249,3301,3347,3419,3451,3457,3457,3459,3472,3532,3572,3572,3572,3577,3578,3638,3711,3776,3831,3877,3889
Alaska,60.24750915137932,-148.03690658620692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,15,15,15,15,15,15,17,17,17,17,17,17,17,17,18,18,18,18,19,19,19,20,20,21,22,22,23,23,24,24,25,25,25,25,25,26,26,26,26,27,27,27,28,28,28,29,29,29,30,31,32,32,36,37,37,37,37,37,37,39,39,40,40,42,42,42,42,42,42,43,44,44,44,44,44,44,45,45,45,45,45,45,46,52,52,56,56,56,56,57,57,58,58,58,58,59,60,60,60,60,60,60,64,65,66,67,67,67,67,68,68,68,68,68,68,70,71,77,81,82,83,84,84,84,84,84,84,84,84,92,96,96,97,98,98,98,100,100,101,101,102,103,103,116,116,119,119,121,121,121,122,122,130,142,143,143
American Samoa,-14.271,-170.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,33.675903642,-111.46323212666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,11,11,11,11,12,14,32,32,50,54,55,59,77,80,80,88,103,114,119,128,136,141,180,183,190,208,231,249,266,273,275,275,275,306,318,328,328,328,328,393,425,449,516,531,535,541,561,594,623,650,678,679,686,704,746,762,773,799,799,805,808,832,857,882,901,904,915,940,980,996,1013,1041,1049,1051,1074,1099,1133,1154,1187,1189,1201,1227,1248,1282,1320,1345,1348,1350,1395,1466,1494,1535,1579,1593,1597,1644,1724,1764,1798,1817,1825,1829,1926,1962,2037,2081,2150,2236,2245,2337,2434,2491,2582,2730,2761,2784,2918,2974,3063,3143,3286,3305,3304,3407,3454,3626,3693,3746,3764,3778,3844,3931,4001,4080,4136,4149,4153,4198,4346,4382,4422,4491,4505,4505,4528,4633,4683,4688,4755,4770,4770,4791,4895,4928,4977,5006,5029,5028,5043,5064,5129,5170,5206,5220,5218,5220,5250,5272,5287,5314,5321,5321,5343,5370,5408,5449,5466,5475,5477,5496,5525,5557,5586,5621,5621,5622,5631,5649,5673,5692,5704,5705,5706,5712,5732,5742,5745,5758,5758,5758,5766,5771,5788,5806,5823,5826,5829,5836,5853,5858,5864,5868,5873,5874,5890,5904,5917,5934,5978,5978,5981,6020,6059,6087,6109,6147,6164,6164,6192,6228,6240,6257,6300,6302,6302,6312,6365,6384,6427,6457,6464,6464,6515,6524,6568,6588,6624,6634,6639,6687,6739,6821,6885,6925,6950
Arkansas,34.911889390266666,-92.43397826839998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,6,6,6,6,6,6,6,6,21,21,25,27,29,32,33,37,37,38,39,41,42,42,45,47,48,51,51,57,57,61,64,72,76,80,83,87,87,88,88,91,94,95,97,98,98,98,98,100,102,107,110,113,115,116,117,119,120,125,132,133,133,133,136,142,151,152,154,154,155,161,165,171,176,177,179,182,188,197,208,214,224,225,227,237,240,240,249,259,264,265,270,277,279,281,286,287,292,301,305,309,313,319,321,323,331,335,341,353,357,357,363,374,380,386,394,399,401,408,428,434,442,453,458,464,475,490,508,515,521,535,544,555,566,572,582,587,600,599,603,619,631,641,663,674,687,696,711,732,739,756,772,784,797,814,841,861,873,882,894,908,917,928,940,953,969,981,992,1150,1157,1166,1173,1181,1181,1197,1209,1229,1246,1266,1285,1308,1329,1350,1369,1384,1391,1407,1425,1447,1469,1482,1503,1530,1552,1569,1586,1611,1634,1645,1665,1684,1704,1714,1728,1751,1772,1782,1797,1812,1833,1857,1875,1894,1900,1925,1958,1985,2003,2026,2037,2056,2068,2085,2108,2112,2126,2144,2148,2159,2183,2225,2245,2275,2297,2321,2337,2357,2387,2405,2425,2436,2436,2449,2470,2502,2512,2522,2555,2586,2620,2660
California,37.84396164603449,-120.72859416379308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,4,3,5,7,12,16,18,24,25,30,39,50,65,81,94,110,123,146,173,198,238,263,289,348,380,432,493,542,583,604,640,714,767,860,956,1037,1140,1175,1223,1280,1419,1531,1619,1687,1723,1777,1862,1944,2029,2124,2178,2214,2276,2379,2462,2533,2613,2687,2716,2779,2879,2957,3052,3136,3208,3240,3279,3403,3497,3583,3665,3737,3753,3768,3818,3894,3993,4077,4144,4172,4217,4305,4374,4444,4529,4607,4632,4657,4745,4854,4934,4978,5076,5099,5114,5200,5271,5355,5426,5494,5515,5566,5626,5725,5806,5868,5899,5932,5983,6082,6169,6265,6315,6334,6373,6441,6573,6718,6859,6955,7027,7051,7089,7250,7375,7489,7603,7702,7715,7770,7888,8047,8201,8337,8408,8448,8494,8679,8908,9026,9214,9345,9396,9441,9684,9808,10021,10133,10307,10377,10476,10523,10753,10870,11148,11218,11243,11296,11504,11690,11810,11946,12131,12153,12235,12382,12532,12677,12805,12894,12937,13022,13150,13317,13493,13638,13709,13731,13758,13823,13983,14077,14230,14327,14378,14439,14594,14691,14804,14893,15018,15016,15056,15189,15291,15393,15516,15583,15606,15633,15782,15885,15973,16054,16115,16147,16171,16244,16338,16418,16486,16567,16579,16586,16644,16729,16832,16910,16956,16979,16982,17055,17167,17256,17305,17343,17358,17386,17460,17529,17559,17618,17659,17671,17689,17745,17808,17860,17931,17961,17973,18021,18066,18108,18135,18205,18253,18262,18288,18347,18453,18542,18640,18672,18726,18753,18862,18968,19025,19089,19116,19151,19173,19304,19410,19553,19734,19870,19928
Colorado,38.935474467656235,-105.48623995937497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,5,5,6,7,7,8,20,19,30,43,46,50,68,75,96,110,125,139,149,149,191,191,248,273,289,306,327,353,371,388,410,419,446,482,505,549,670,680,684,702,733,763,774,817,828,838,847,898,914,939,955,962,966,983,1006,1058,1085,1149,1191,1214,1223,1256,1298,1309,1323,1327,1332,1333,1352,1392,1421,1436,1443,1445,1458,1474,1494,1512,1524,1527,1527,1543,1553,1572,1582,1582,1597,1598,1605,1617,1631,1638,1643,1647,1647,1651,1665,1667,1669,1673,1674,1676,1681,1690,1697,1701,1701,1701,1701,1691,1696,1704,1706,1724,1725,1725,1727,1738,1744,1745,1751,1752,1752,1758,1763,1771,1786,1790,1794,1794,1799,1807,1822,1822,1838,1844,1844,1844,1849,1851,1852,1857,1857,1858,1862,1874,1875,1882,1888,1896,1896,1896,1899,1900,1903,1910,1918,1918,1919,1926,1927,1931,1937,1942,1942,1945,1946,1952,1955,1955,1971,1972,1973,1973,1977,1979,1985,1988,1988,1990,1996,2002,2006,2009,2013,2014,2018,2025,2030,2033,2034,2040,2041,2044,2046,2051,2054,2057,2060,2068,2069,2081,2085,2095,2103,2112,2113,2116,2153,2160,2162,2172,2176,2176,2180,2182,2194,2198,2211,2218,2223,2226,2236,2249,2268,2278,2285,2288,2292,2311,2333,2353,2376,2389,2394,2408,2427,2443,2468,2504,2525,2546,2578,2608,2651,2730,2745,2787,2806,2810,2860,2906,2957,2977,2983,3003,3037,3109,3193,3320,3338,3357,3356
Connecticut,41.61368014,-72.65682967875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,8,10,12,19,21,27,33,34,36,67,83,111,130,164,188,206,274,274,378,444,489,550,598,667,866,969,1034,1083,1123,1327,1419,1540,1633,1761,1859,1924,2011,2086,2166,2253,2337,2435,2435,2553,2631,2716,2795,2871,2929,2964,3005,3038,3120,3216,3282,3337,3407,3448,3470,3527,3581,3635,3673,3693,3742,3768,3802,3826,3868,3912,3944,3970,3972,3989,4007,4038,4055,4071,4084,4097,4118,4146,4159,4186,4201,4204,4210,4219,4226,4238,4251,4260,4263,4277,4287,4298,4307,4311,4316,4320,4322,4324,4326,4335,4335,4335,4338,4338,4343,4348,4348,4348,4348,4369,4372,4380,4389,4396,4396,4396,4406,4406,4406,4410,4413,4413,4413,4418,4423,4425,4431,4432,4432,4432,4437,4437,4437,4437,4441,4441,4441,4444,4444,4450,4450,4453,4453,4453,4456,4456,4457,4458,4460,4460,4460,4460,4463,4463,4465,4465,4465,4465,4465,4466,4467,4468,4468,4468,4468,4468,4474,4474,4478,4480,4480,4480,4485,4485,4487,4488,4492,4492,4492,4494,4496,4497,4499,4501,4501,4501,4503,4505,4508,4511,4513,4513,4513,4517,4521,4522,4527,4530,4530,4530,4532,4533,4537,4540,4542,4542,4542,4554,4559,4567,4569,4577,4577,4577,4588,4595,4604,4609,4616,4616,4616,4626,4635,4645,4656,4671,4671,4671,4697,4707,4716,4726,4737,4737,4737,4759,4771,4784,4805,4828,4828,4828,4871,4881,4926,4926,4961,4961,4961,5018,5039,5091,5110,5145,5145,5145
Delaware,39.10927682333334,-75.53323745666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,6,7,11,12,12,12,12,15,16,16,16,16,33,33,41,43,43,52,61,67,67,72,82,89,92,100,112,120,125,137,144,152,159,168,177,182,187,193,202,213,221,221,225,236,246,259,270,285,289,296,303,309,316,321,321,325,331,335,344,345,356,361,366,368,373,375,385,388,390,398,398,410,413,414,414,419,422,423,424,426,431,433,434,435,435,504,505,507,507,507,507,507,509,509,510,512,512,512,512,514,515,508,508,508,508,508,509,512,512,512,514,514,514,516,518,520,568,569,569,569,570,571,571,575,585,585,585,587,587,587,588,590,591,591,591,592,593,593,593,593,593,593,595,595,600,600,600,604,603,604,604,604,604,604,605,605,606,606,606,608,609,609,609,609,613,613,613,615,617,618,619,619,620,621,621,627,628,629,630,631,633,633,634,635,636,636,642,645,645,645,646,649,651,651,653,654,656,659,660,661,662,664,665,666,668,670,670,678,680,681,685,686,688,689,704,708,710,710,712,712,716,716,716,718,719,722,724,732,734,736,736,736,739,742,742,746,746,748,752,757,760,761,763,763,770,772,777,779,779,782,782,793
District of Columbia,38.90417773,-77.01655992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,3,3,4,5,9,9,9,12,15,21,22,24,22,27,32,38,47,50,52,67,72,81,86,91,96,105,112,127,139,153,165,178,185,190,205,224,231,240,251,258,264,277,285,304,311,323,328,336,350,358,368,375,383,392,400,407,412,418,427,432,440,440,445,453,460,462,466,468,470,473,475,479,483,489,491,495,499,502,506,511,515,515,520,523,527,530,531,533,535,537,541,543,546,548,550,551,551,553,554,555,557,559,561,561,564,568,568,568,568,568,568,571,574,577,578,578,579,580,580,581,581,581,581,582,583,584,584,585,585,586,586,587,587,587,589,590,591,591,593,593,594,594,597,597,597,599,600,601,602,604,604,604,604,605,605,605,605,606,607,607,608,609,611,611,611,611,611,615,616,616,616,616,616,616,617,619,619,619,620,621,621,621,621,623,624,624,624,626,627,628,629,629,631,631,631,631,634,634,636,637,637,637,638,638,641,641,641,641,642,642,642,642,642,642,642,644,644,645,646,646,646,647,647,647,650,652,654,654,655,657,657,657,657,658,660,660,660,665,667,669,670,670,672,673,677,677,677,678,680,680,685,690,692,693,695,697
